Tyler Lockett,SEA,WR,5.430504712,4.8915,5.909426294,49
Jaron Brown,ARI,WR,5.243670604,4.116002972,5.69885076,50
Austin Hooper,ATL,TE,5.201355469,3.499168648,6.575292123,14
Bennie Fowler,DEN,WR,5.198746128,4.665,5.476471079,51
Jordan Matthews,BUF,WR,5.155430415,3.990668648,5.973099225,52
Jared Cook,OAK,TE,5.136757488,2.822659733,6.663420088,15
Matt Breida,SF,RB,5.077480231,4.35,5.50259848,46
Tyrell Williams,LAC,WR,5.066879129,3.32,6.015042577,53
Cole Beasley,DAL,WR,5.06616807,3.956002972,5.746134302,54
Paul Richardson,SEA,WR,5.045463508,2.976002972,6.256229483,55
Giovani Bernard,CIN,RB,4.924631492,4.057,5.444428224,47
Torrey Smith,PHI,WR,4.774458293,4.004168648,5.596422477,56
Willie Snead,NO,WR,4.772681094,2.305159733,5.806678924,57
Zach Miller,CHI,TE,4.76827473,4.470668648,4.987670653,16
Marquise Goodwin,SF,WR,4.763543014,3.568168648,5.615473997,58
Terrance Williams,DAL,WR,4.756750473,2.990668648,5.734800408,59
Albert Wilson,KC,WR,4.75277743,4.505,4.87515581,60
Kendall Wright,CHI,WR,4.73854048,3.970668648,5.312255623,61
Mike Tolbert,BUF,RB,4.711075881,3.384,5.315034823,48
Ed Dickson,CAR,TE,4.666199423,3.970668648,5.370277152,17
Wendell Smallwood,PHI,RB,4.591255969,3.27332838,6.16549662,49
Zane Gonzalez,CLE,K,4.578222794,3,6.018533646,30
George Kittle,SF,TE,4.566583414,4.173,4.827817942,18
Mike Wallace,BAL,WR,4.540550617,3.056668648,5.599449073,62
Adam Humphries,TB,WR,4.531210222,3.93,5.020721884,63
Jamaal Charles,DEN,RB,4.408981727,4.001307578,4.628541279,50
Wayne Gallman,NYG,RB,4.387682979,3.73,4.859942308,51
Jeremy Kerley,NYJ,WR,4.370935629,3.456002972,5.251307599,64
Benjamin Watson,BAL,TE,4.331701233,4.070668648,4.577045411,19
Tyler Kroft,CIN,TE,4.253578858,3.531,4.589977733,20
Ricardo Louis,CLE,WR,4.222182552,2.161,5.469112059,65
Roger Lewis,NYG,WR,4.207280523,3.326,5.292946337,66
Taywan Taylor,TEN,WR,4.148665173,2.813502972,4.878109878,67
Brandon LaFell,CIN,WR,4.127400002,2.970668648,5.073957265,68
Jamison Crowder,WAS,WR,4.0881293,3.107473254,5.04714284,69
Kenny Britt,CLE,WR,4.059741783,3.12,4.9849676,70
J.J. Nelson,ARI,WR,4.057338433,2.851,5.282295749,71
Martellus Bennett,GB,TE,4.055765679,3.490668648,4.408224826,21
Eddie Lacy,SEA,RB,4.002783556,2.529,4.766854261,52
Jalen Richard,OAK,RB,3.971321139,2.77332838,5.035850456,53
Jesse James,PIT,TE,3.90975699,3.490668648,4.287062036,22
Nick OLeary,BUF,TE,3.897124115,2.405,4.589309985,23
Vernon Davis,WAS,TE,3.862781082,3.008647845,4.386570349,24
Marcedes Lewis,JAC,TE,3.850404563,2.005334324,4.876818809,25
Zay Jones,BUF,WR,3.821536281,2.468502972,4.454532575,72
Seth Roberts,OAK,WR,3.766027808,2.490668648,4.468363081,73
Ryan Grant,WAS,WR,3.762628728,3.156,4.265905734,74
Curtis Samuel,CAR,WR,3.714244489,1.296002972,4.935047416,75
A.J. Derby,DEN,TE,3.704326133,2.817325409,4.661196625,26
Laquon Treadwell,MIN,WR,3.699840987,3.471,3.942411079,76
Josh Doctson,WAS,WR,3.622492181,1.867,5.063525204,77
Andre Holmes,BUF,WR,3.61037125,3.175334324,3.939019186,78
Coby Fleener,NO,TE,3.585014266,2.562,4.424112413,27
Rex Burkhead,NE,RB,3.518261516,0,3.753377907,54
Michael Floyd,MIN,WR,3.515805085,0,3.760130699,79
Julius Thomas,MIA,TE,3.508392037,2.470668648,4.362556367,28
Travis Benjamin,LAC,WR,3.439953577,2.354825409,4.405678842,80
Devontae Booker,DEN,RB,3.395091088,2.287994056,4.580043314,55
David Njoku,CLE,TE,3.311543014,2.9395,3.707031125,29
Demarcus Robinson,KC,WR,3.252779799,2.6455,3.854525198,81
Tavarres King,NYG,WR,3.235217525,1.970668648,4.5173907,82
Jermaine Gresham,ARI,TE,3.232251559,1.970668648,4.040384939,30
Tanner Gentry,CHI,WR,3.186723722,2.4805,3.735243465,83
Kamar Aiken,IND,WR,3.170483275,2.410668648,3.723071512,84
Brice Butler,DAL,WR,3.160353286,2.115334324,4.038512209,85
Antonio Gates,LAC,TE,3.158485664,2.005334324,3.845340798,31
C.J. Prosise,SEA,RB,3.149587321,1.802659733,4.339024154,56
Tyler Higbee,LAR,TE,3.139655252,1.472168648,4.213793449,32
Brandon Coleman,NO,WR,3.115096799,2.33,3.693541858,86
Andre Ellington,ARI,RB,3.069161769,0.86,4.984112417,57
Seth DeValve,CLE,TE,3.030218548,2.35,3.430720932,33
Shane Vereen,NYG,RB,3.028836416,2.05,3.63599104,58
Mike Williams,LAC,WR,3.022185614,1.962,3.82642267,87
Trent Taylor,SF,WR,3.00297618,1.005002972,4.039812158,88
Elijah McGuire,NYJ,RB,2.995989918,1.564,4.315356418,59
Tavon Austin,LAR,WR,2.974420766,2.259,3.667058111,90
Cordarrelle Patterson,OAK,WR,2.944179077,2.350837296,3.314957703,91
Jonnu Smith,TEN,TE,2.937457078,1.511,4.253039533,34
Jordan Taylor,DEN,WR,2.935427131,0.273,4.391178683,92
Michael Campanaro,BAL,WR,2.917932949,2.231668648,3.624659884,93
Rashard Higgins,CLE,WR,2.907676613,1.974,3.313168207,94
Russell Shepard,CAR,WR,2.876502826,1.970668648,3.643591793,95
Leonte Carroo,MIA,WR,2.8755441,1.996,3.5611281,96
Aldrick Robinson,SF,WR,2.782976612,2.256,3.02043282,98
Jeremy Hill,CIN,RB,2.77791636,1.77332838,3.673712004,60
DeAndre Washington,OAK,RB,2.741979066,1.802659733,3.726598003,61
Chris Moore,BAL,WR,2.652799386,2.047,3.095141601,99
Charles Sims,TB,RB,2.644785719,1.04,3.391674492,62
John Ross,CIN,WR,2.578790471,2.397,2.729010654,100
Dion Sims,CHI,TE,2.473233526,2.24,2.665460484,35
DeAnthony Thomas,KC,WR,2.471432113,0.776002972,3.482023256,101
Gerald Everett,LAR,TE,2.408473137,1.975668648,2.938436628,36
Damien Williams,MIA,RB,2.345876242,1.302659733,3.368348052,63
Tre McBride,CHI,WR,2.329720544,1.196,3.108952239,102
Kasen Williams,CLE,WR,2.326126739,1.506,2.738481743,103
Alex Erickson,CIN,WR,2.240777415,1.667,2.629477317,104
Jeff Heuerman,DEN,TE,2.228832328,1.325,3.078606102,37
Luke Willson,SEA,TE,2.209019953,1.447,2.82745494,38
Garrett Celek,SF,TE,2.16618425,1.378,2.618323837,39
Jarius Wright,MIN,WR,2.134937192,1.621991085,2.415725581,105
Jacquizz Rodgers,TB,RB,2.096716947,1.86,2.3339745,64
Travis Rudolph,NYG,WR,2.0925,1.915,2.199,106
Nick Boyle,BAL,TE,2.092174803,1.491668648,2.383773837,40
Demetrius Harris,KC,TE,2.090705581,1.218,2.865989823,41
Bryce Treggs,CLE,WR,2.07,2.07,2.07,107
O.J. Howard,TB,TE,2.069981827,0.975168648,2.744449855,42
Alfred Morris,DAL,RB,1.966693766,0.802659733,2.600770058,65
Virgil Green,DEN,TE,1.959047575,0.985334324,2.487545553,43
Kyle Juszczyk,SF,RB,1.943319209,0,2.390148936,66
Trey Burton,PHI,TE,1.91614533,0.985334324,2.727747093,44
Darren McFadden,DAL,RB,1.91,0,1.536328488,67
Michael Hoomanawanui,NO,TE,1.89420865,1.491991085,2.300661628,45
Kaelin Clay,BUF,WR,1.885223538,0.680668648,2.736953198,108
Austin Ekeler,LAC,RB,1.874289296,0.49,2.819548936,68
Justin Hardy,ATL,WR,1.869158668,1.185,2.452046804,109
James Conner,PIT,RB,1.817851632,0.956002972,2.319566891,69
Chester Rogers,IND,WR,1.808307378,1.267,2.081984174,110
Jaelen Strong,FA,WR,1.733778603,0.689,2.333112791,112
C.J. Spiller,KC,RB,1.727961688,0.372659733,2.692376595,70
Branden Oliver,LAC,RB,1.688219688,0.817325409,2.463630457,71
Kenyan Drake,MIA,RB,1.654651043,1.052659733,2.11829741,72
Tommylee Lewis,NO,WR,1.648203566,0.217,2.469209302,113
Phillip Supernaw,TEN,TE,1.634423477,0.583,2.237569477,46
Rhett Ellison,NYG,TE,1.61177024,0.922,2.372949622,47
Josh Bellamy,CHI,WR,1.574569661,0.46,1.971001685,114
C.J. Uzomah,CIN,TE,1.545518574,0.34,2.301556839,48
Jakeem Grant,MIA,WR,1.519131796,1.06,1.745094388,115
Kenjon Barner,PHI,RB,1.496748562,-0.182674591,2.650068605,73
Akeem Hunt,KC,RB,1.4775,1.055,1.731,74
Justin Hunter,PIT,WR,1.466196137,0,1.629398176,116
Samaje Perine,WAS,RB,1.462626414,0.599316493,2.48522936,75
Jerell Adams,NYG,TE,1.441956909,0.733,1.848647965,49
Vance McDonald,PIT,TE,1.409626739,1.29,1.49294922,50
Geronimo Allison,GB,WR,1.400505577,0.495334324,2.177160901,117
Corey Clement,PHI,RB,1.385036911,0.32,2.121184154,76
Troy Niklas,ARI,TE,1.364624743,0.871,1.638025816,51
Brandon Tate,BUF,WR,1.347516944,0.226002972,2.414809884,118
Malcolm Brown,LAR,RB,1.334463714,0.817325409,1.734618299,77
Kerwynn Williams,ARI,RB,1.330140544,0.802659733,1.842406514,78
Corey Grant,JAC,RB,1.329132794,0.587325409,1.909301744,79
T.J. Yeldon,JAC,RB,1.32,0,1.061755814,80
ArDarius Stewart,NYJ,WR,1.2365,0.91,1.4324,119
Benny Cunningham,CHI,RB,1.196283194,0.226,1.986617178,81
Matt Jones,IND,RB,1.193748488,0.68,1.4773185,82
Marvin Hall,ATL,WR,1.17,0,0.941101744,120
Ed Eagan,NYG,WR,1.165,1.165,1.165,121
Lance Kendricks,GB,TE,1.145939079,0.713,1.394293314,52
Chris Godwin,TB,WR,1.1415,0.72,1.3944,122
J.D. McKissic,SEA,WR,1.08,1.08,1.08,123
Dwayne Allen,NE,TE,1.071410104,0.915,1.161134302,53
Logan Thomas,BUF,TE,1.070065379,0.746,1.255964535,54
Eli Rogers,PIT,WR,0.9975,-0.03,1.614,124
J.D. McKissic,SEA,RB,0.992,0.992,0.992,83
Cody Core,CIN,WR,0.936872214,0.69,1.091697568,125
Pharoh Cooper,LAR,WR,0.883200717,-0.095349183,1.517952616,126
Dontrelle Inman,LAC,WR,0.862140719,0.14,1.528322674,127
Sammie Coates,CLE,WR,0.82033581,0.782,0.842327035,128
Phillip Dorsett,NE,WR,0.808779434,0.625334324,0.954855319,129
Brent Celek,PHI,TE,0.804302281,0.5,0.979474406,55
Amara Darboh,SEA,WR,0.780864257,0.3515,1.222142853,130
Chris Matthews,BAL,WR,0.78,0,0.624,131
Stacy Coley,MIN,WR,0.765373239,0.0405,1.329481454,132
Marcus Johnson,PHI,WR,0.764,0.54,0.8984,133
Max McCaffrey,JAC,WR,0.740802377,0.447,0.925059878,134
Rodney Adams,MIN,WR,0.731089153,0.077,1.141299696,135
Mack Hollins,PHI,WR,0.727260472,0.43,0.897259876,136
DeAngelo Henderson,DEN,RB,0.723,0.723,0.723,84
Vince Mayle,BAL,WR,0.706032927,0.636,0.773099416,137
Cameron Artis-Payne,CAR,RB,0.702142707,0.598,0.759902614,85
James Hanna,DAL,TE,0.694,0.694,0.694,56
Adam Shaheen,CHI,TE,0.686,0.686,0.686,57
James OShaughnessy,FA,TE,0.640861813,0.24,0.892261398,58
