"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","salary"
2543496,"Odell Beckham","CLE","WR",27,5,7,12.3887100361247,10.821,14.5592043614274,1.86600184073061,10,0.291202831794791,2,3.73820436142743,NA,5.5,1.9,2.67679434992914,NA,7900
2540258,"Travis Kelce","KC","TE",30,6,12,12.2602550973406,10.6427442075996,13.7952535285603,1.47173442053851,1,2.09246764066257,1,3.15250932096066,NA,1.1,0.2,5.26365463898186,NA,7600
2552487,"Amari Cooper","DAL","WR",25,4,8,12.1516412345395,9.17414757554462,14.6909469981477,2.33218751613848,11,0.141270506787825,2,5.51679942260303,NA,6,1.4,2.39776504348759,NA,7900
2558052,"Kenny Golladay","DET","WR",26,2,5,12.0433731741203,9.289,15.3922577081753,3.05088520441891,12,0.168083397448051,2,6.10325770817534,NA,13.8,2.2,2.84421193379407,NA,6700
100030,"Seahawks","SEA","DST",NA,NA,11,12.0008217142857,7.01,12.5737441860465,2.92034017649451,1,0.231270285714286,1,5.56374418604651,NA,NA,NA,9.34974089629396,NA,3700
2558149,"JuJu Smith-Schuster","PIT","WR",23,2,7,11.977368281383,10.57,13.6630285212767,1.51180753921522,13,0.551720361945772,3,3.09302852127673,NA,9.9,2.2,2.84421193379407,NA,7500
2557976,"Joe Mixon","CIN","RB",23,2,9,11.9133537390106,10.09,12.7078415603469,0.990141960048495,16,0.365081985267116,6,2.61784156034694,NA,16,2.1,3.39623460067737,NA,6800
100028,"Chargers","LAC","DST",NA,NA,12,11.8611794285714,10.505,12.4049825581395,0.774934686954647,2,0.445321935163173,2,1.89998255813954,NA,NA,NA,3.94981113887216,NA,5300
2562796,"Gardner Minshew","JAC","QB",49,0,10,11.79914728039,10.544897338403,12.851963,1.39588474310419,27,0.551942659764871,8,2.30706566159696,NA,23.2,1.4,5.18699385595032,NA,NA
2556370,"Michael Thomas","NO","WR",25,3,9,11.7732112719614,9.65138721011947,13.9269490895905,1.90860259823065,14,0.709217703249253,3,4.27556187947104,NA,11,2.7,3.12324124023562,NA,7700
100021,"Patriots","NE","DST",NA,NA,10,11.6779234285714,10.73132,12.4159174311927,0.807470316379007,3,0.595346469418631,2,1.68459743119266,NA,NA,NA,4.03170247100571,NA,4800
2558116,"Aaron Jones","GB","RB",25,2,11,11.5550138965979,9.545,12.7544237766347,1.36261829541541,17,0.711548891907116,6,3.20942377663467,NA,17.5,1.7,3.0777141408583,NA,6900
2562502,"David Montgomery","CHI","RB",49,0,6,11.5415296108891,10.238,12.8337515747024,1.29173827225148,18,1.51682546505599,6,2.59575157470245,NA,23.1,2,3.3166044857226,NA,6000
2532820,"Kirk Cousins","MIN","QB",31,7,12,11.2507350599954,9.71,12.5455099392097,1.12204909150721,28,1.09893085024469,8,2.83550993920973,NA,27.5,1.3,4.86910430083478,NA,6900
382,"Joe Flacco","DEN","QB",34,11,10,11.2436741812548,10.09445,12.2376220212766,1.17291952256813,29,5.50895541007388,8,2.1431720212766,NA,28.8,0.7,2.96176697014156,NA,6400
100027,"Steelers","PIT","DST",NA,NA,7,11.1537915582451,10.49402,11.8566790697674,0.880808812202642,4,0.181228663929112,3,1.36265906976744,NA,NA,NA,4.21629355548529,NA,4200
2557858,"Evan Engram","NYG","TE",25,2,11,11.1003070675854,8.9978313253012,12.9708109811094,1.79275767725561,2,1.8735299317732,1,3.97297965580815,NA,2.1,0.4,6.10837179266463,NA,6800
2555295,"Sterling Shepard","NYG","WR",NA,3,11,11.078084566913,8.77,13.7279692789315,2.81014402389809,15,0.216443339432892,3,4.95796927893145,NA,21.7,4.3,4.01613502084857,NA,6500
2555466,"Tyler Boyd","CIN","WR",25,3,9,11.0499025705113,9.28257973174367,12.8749264075826,1.84484103513759,16,0.438522182964849,3,3.59234667583896,NA,18,4.6,4.1835526047135,NA,6300
100014,"Colts","IND","DST",NA,NA,6,11.0113623600605,10.415,11.4031939069767,0.52332263429913,5,0.21105521720337,3,0.988193906976745,NA,NA,NA,3.31651015354098,NA,4200
100002,"Ravens","BAL","DST",NA,NA,8,10.9337634285714,10.02,11.7561104651163,0.880479969699558,6,0.369693428571427,3,1.73611046511628,NA,NA,NA,4.21546586746707,NA,4200
2562379,"Marquise Brown","BAL","WR",49,0,8,10.673379884449,8.37,13.5100569598548,2.82428242964027,17,0.161104347738684,3,5.14005695985482,NA,21.8,3,3.29065882410054,NA,5700
100015,"Jaguars","JAC","DST",NA,NA,10,10.6668508571429,5.54586,11.5429927325581,2.91130665454024,7,0.222996857142858,3,5.99713273255814,NA,NA,NA,9.32700375674014,NA,4700
2558105,"Chris Godwin","TB","WR",23,2,7,10.5493808906438,5.93619465917077,13.2890102607899,2.85295158098479,18,0.270746950639188,3,7.35281560161913,NA,16.6,4,3.84871743698364,NA,7100
100005,"Bears","CHI","DST",NA,NA,6,10.4612891428571,9.84244,11.1705810397554,0.656614865587091,8,1.22411057142857,3,1.32814103975535,NA,NA,NA,3.65200322917368,NA,4700
100009,"Broncos","DEN","DST",NA,NA,10,10.4264188571429,8.96,11.1705595930233,0.985524962430973,9,2.7941971272963,3,2.21055959302326,NA,NA,NA,4.47986137912402,NA,4100
2560965,"Mike Badgley","LAC","K",49,1,12,10.24,0,7.85490683229814,7.24077343935025,1,0.268368464839515,1,7.85490683229814,NA,15.5,7,14.6861931816372,NA,NA
