	ID	dropoff	lineup_cost	lineup_id	lineup_position	lineup_score	lower	player	points	position	positionECR	positionRank	projected_ownership	ptSpread	risk	salary	score	team	tier	upper
78	13425000	0.0608717327398818	49800.0	58129375	WR3	33.972853535353536	0.5079365079365079	Larry Fitzgerald	0.5	WR	0.5564516129032258	20	0.4411764705882353	0.6349206349206349	3.40227054667716	5600.0	3.2717532467532466	ARI	0.5238095238095238	0.5476190476190477
33	13424762	0.39874140468249497	49800.0	58129375	RB2	33.972853535353536	0.8412698412698413	Derrick Henry	0.7698412698412699	RB	0.18548387096774194	12	0.23529411764705882	0.07936507936507936	3.9536454053607297	6300.0	4.41002886002886	TEN	0.7142857142857143	0.6746031746031746
32	13424766	0.255027235952724	49800.0	58129375	RB1	33.972853535353536	0.7857142857142857	Leonard Fournette	0.7777777777777778	RB	0.45161290322580644	11	0.3333333333333333	0.42857142857142855	3.7147550604964303	6000.0	4.359830447330447	JAC	0.5238095238095238	0.746031746031746
91	13425250	0.0986883162726873	49800.0	58129375	TE	33.972853535353536	0.42063492063492064	Darren Waller	0.4126984126984127	TE	0.11290322580645161	3	0.5490196078431373	0.7777777777777778	7.718240333356791	5200.0	3.1016143578643582	OAK	0.1626984126984127	0.49206349206349204
26	13424956	0.5975676084631839	49800.0	58129375	WR1	33.972853535353536	0.746031746031746	Julio Jones	0.8174603174603174	WR	0.03225806451612903	2	0.06862745098039216	0.8015873015873016	2.4535709047759	7800.0	4.579698773448773	ATL	0.1626984126984127	0.8174603174603174
53	13425431	0.231270285714286	49800.0	58129375	DST	33.972853535353536	0.3968253968253968	Seahawks	0.6587301587301587	DST	0.9435483870967742	1	0.9411764705882353	0.9206349206349206	9.34974089629396	3300.0	3.3650793650793656	SEA	0.031746031746031744	0.5793650793650794
81	13424810	0.20682767519863396	49800.0	58129375	FLEX	33.972853535353536	0.4444444444444444	Carlos Hyde	0.47619047619047616	RB	0.6451612903225806	20	0.7647058823529411	0.6587301587301587	4.2721658651798	4300.0	2.8479437229437226	HOU	0.9365079365079365	0.40476190476190477
91	13425250	0.0986883162726873	49700.0	2969572531	TE	33.972537878787875	0.42063492063492064	Darren Waller	0.4126984126984127	TE	0.11290322580645161	3	0.5490196078431373	0.7777777777777778	7.718240333356791	5200.0	3.1016143578643582	OAK	0.1626984126984127	0.49206349206349204
9	13424750	1.65560153156573	49700.0	2969572531	FLEX	33.972537878787875	0.9285714285714286	Austin Ekeler	0.9285714285714286	RB	0.06854838709677419	2	0.058823529411764705	0.373015873015873	2.28141299131063	8000.0	5.227705627705627	LAC	0.031746031746031744	0.9365079365079365
19	13424960	1.5563419480592298	49700.0	2969572531	WR2	33.972537878787875	0.8571428571428571	Keenan Allen	0.8492063492063492	WR	0.06854838709677419	1	0.08823529411764706	0.5714285714285714	2.2303474596226605	7600.0	4.8576659451659445	LAC	0.031746031746031744	0.8571428571428571
89	13425018	0.19041238538969602	49700.0	2969572531	WR1	33.972537878787875	0.30158730158730157	Christian Kirk	0.42857142857142855	WR	0.6370967741935484	25	0.5980392156862745	0.9047619047619048	3.45807640796547	5100.0	2.8244227994227993	ARI	0.5238095238095238	0.5079365079365079
31	13424774	0.0974360570099986	49700.0	2969572531	RB1	33.972537878787875	0.8174603174603174	Kerryon Johnson	0.7857142857142857	RB	0.4596774193548387	10	0.4803921568627451	0.30952380952380953	3.0777141408582995	5400.0	4.399224386724386	DET	0.5238095238095238	0.7301587301587301
16	13424700	0.6848378544047509	49700.0	2969572531	QB	33.972537878787875	0.873015873015873	Jacoby Brissett	0.873015873015873	QB	0.4435483870967742	15	0.5	0.40476190476190477	7.41222074175907	5400.0	4.771825396825397	IND	0.7142857142857143	0.8650793650793651
107	13425014	0.15379000919130803	49700.0	2969572531	WR3	33.972537878787875	0.2777777777777778	Mecole Hardman	0.3492063492063492	WR	0.7540322580645161	30	0.5784313725490197	0.8888888888888888	3.7929115756953298	5100.0	2.5861111111111112	KC	0.5238095238095238	0.46825396825396826
53	13425431	0.231270285714286	49700.0	2969572531	DST	33.972537878787875	0.3968253968253968	Seahawks	0.6587301587301587	DST	0.9435483870967742	1	0.9411764705882353	0.9206349206349206	9.34974089629396	3300.0	3.3650793650793656	SEA	0.031746031746031744	0.5793650793650794
85	13424792	0.18315028554748003	49700.0	2969572531	RB2	33.972537878787875	0.5396825396825397	Wayne Gallman	0.4603174603174603	RB	0.6209677419354839	22	0.7058823529411765	0.12698412698412698	3.7943851754512	4600.0	2.8388888888888886	NYG	0.9365079365079365	0.2857142857142857
85	13424792	0.18315028554748003	50000.0	445015899	RB1	33.95898268398268	0.5396825396825397	Wayne Gallman	0.4603174603174603	RB	0.6209677419354839	22	0.7058823529411765	0.12698412698412698	3.7943851754512	4600.0	2.8388888888888886	NYG	0.9365079365079365	0.2857142857142857
90	13424996	0.322649950959539	50000.0	445015899	WR2	33.95898268398268	0.36507936507936506	Allen Robinson	0.42063492063492064	WR	0.6854838709677419	26	0.45098039215686275	0.8095238095238095	3.5696881305420898	5600.0	2.7115800865800868	CHI	0.5238095238095238	0.4126984126984127
82	13424782	0.368012973501594	50000.0	445015899	RB2	33.95898268398268	0.38095238095238093	Josh Jacobs	0.46825396825396826	RB	0.49193548387096775	21	0.5882352941176471	0.7619047619047619	3.47586471563213	5100.0	2.7423160173160173	OAK	0.9365079365079365	0.373015873015873
52	13424986	0.168083397448051	50000.0	445015899	WR1	33.95898268398268	0.5873015873015873	Kenny Golladay	0.6666666666666666	WR	0.4112903225806452	12	0.3627450980392157	0.9682539682539683	2.8442119337940697	5900.0	4.038356782106782	DET	0.1626984126984127	0.8015873015873016
31	13424774	0.0974360570099986	50000.0	445015899	FLEX	33.95898268398268	0.8174603174603174	Kerryon Johnson	0.7857142857142857	RB	0.4596774193548387	10	0.4803921568627451	0.30952380952380953	3.0777141408582995	5400.0	4.399224386724386	DET	0.5238095238095238	0.7301587301587301
19	13424960	1.5563419480592298	50000.0	445015899	WR3	33.95898268398268	0.8571428571428571	Keenan Allen	0.8492063492063492	WR	0.06854838709677419	1	0.08823529411764706	0.5714285714285714	2.2303474596226605	7600.0	4.8576659451659445	LAC	0.031746031746031744	0.8571428571428571
69	13425432	0.369693428571427	50000.0	445015899	DST	33.95898268398268	0.6428571428571429	Ravens	0.5555555555555556	DST	0.9516129032258065	6	0.9509803921568627	0.18253968253968253	4.21546586746707	3200.0	3.405257936507936	BAL	0.3373015873015873	0.48412698412698413
16	13424700	0.6848378544047509	50000.0	445015899	QB	33.95898268398268	0.873015873015873	Jacoby Brissett	0.873015873015873	QB	0.4435483870967742	15	0.5	0.40476190476190477	7.41222074175907	5400.0	4.771825396825397	IND	0.7142857142857143	0.8650793650793651
50	13425246	2.09246764066257	50000.0	445015899	TE	33.95898268398268	0.7142857142857143	Travis Kelce	0.6825396825396826	TE	0.016129032258064516	1	0.11764705882352941	0.4523809523809524	5.26365463898186	7200.0	4.193867243867244	KC	0.031746031746031744	0.6666666666666666
87	13425006	0.0837068248174742	49800.0	3819407116	WR2	33.95731421356421	0.46825396825396826	Marvin Jones	0.4444444444444444	WR	0.7258064516129032	23	0.49019607843137253	0.5873015873015873	4.51838777244336	5400.0	2.9234307359307357	DET	0.5238095238095238	0.4365079365079365
29	13424760	0.14372463475585698	49800.0	3819407116	RB2	33.95731421356421	0.753968253968254	Nick Chubb	0.7936507936507936	RB	0.3387096774193548	9	0.21568627450980393	0.7063492063492064	3.15734425581307	6400.0	4.401569264069264	CLE	0.5238095238095238	0.7936507936507936
66	13424994	0.21644333943289198	49800.0	3819407116	WR3	33.95731421356421	0.5476190476190477	Sterling Shepard	0.5793650793650794	WR	0.5846774193548387	15	0.38235294117647056	0.8650793650793651	4.01613502084857	5800.0	3.577786796536796	NYG	0.3373015873015873	0.6587301587301587
61	13424778	1.51682546505599	49800.0	3819407116	RB1	33.95731421356421	0.6587301587301587	David Montgomery	0.6031746031746031	RB	0.6088709677419355	18	0.5294117647058824	0.31746031746031744	3.3166044857226002	5300.0	3.68059163059163	CHI	0.8412698412698413	0.6031746031746031
